group,data_item,parcelz_tier,used_in_parcelz,use_case,authoritative_source,coverage_type,target_table,target_column,join_key,missingness_rule,related_etl_pipeline,etl_status,column_coverage_pct,parcel_join_coverage_pct,notes,present_count,missing_count,rows_total,measurement_note
MLS Property Listing,MLS Status,Tier 1,,"Query / Filter, Display",MLS,join,mls_listings,mls_status,listing_id / APN xref,any_related_row,pilot_mls_ingest.py,Projected (API join),,28.89,,142757,351385,494142,History 28.89% / Live 0.58% — mls_survey.py 2026-06-11
MLS Property Listing,Listing Price,Tier 1,,"Query / Filter, Display, Pro Forma, Comps",MLS,join,mls_listings,listing_price,listing_id,any_related_row,pilot_mls_ingest.py,Projected (API join),,28.89,,142756,351386,494142,History 28.89% / Live 0.58%; field fill 100%
MLS Property Listing,Sold Price,Tier 1,,"Query / Filter, Display, Pro Forma, Comps",MLS,join,mls_listings,sold_price,listing_id / sale record,any_related_row,pilot_mls_ingest.py,Projected (API join),,26.31,,129994,364148,494142,Closed ClosePrice; field fill 76%
MLS Property Listing,Listing Type,Tier 1,,"Query / Filter, Display",MLS,join,mls_listings,listing_type,listing_id,any_related_row,pilot_mls_ingest.py,Projected (API join),,28.89,,142757,351385,494142,History 28.89% / Live 0.58%; field fill 100%
MLS Property Listing,Days on Market,Tier 1,,"Query / Filter, Display, Comps",MLS,join,mls_listings,days_on_market,listing_id,any_related_row,pilot_mls_ingest.py,Projected (API join),,23.50,,116109,378033,494142,History 23.50% / Live 0.57%; field fill 73%
MLS Property Listing,Price Reduced,Tier 2,,"Query / Filter, Display, Comps",MLS,join,mls_listings,price_reduced,listing_id,any_related_row,pilot_mls_ingest.py,Projected (API join),,7.30,,36062,458080,494142,OriginalListPrice gt ListPrice; History 7.30% / Live 0.18%
MLS Property Listing,AlphaX Listing,Tier 2,,"Query / Filter, Display",AlphaX,join,mls_listings,alphax_listing,listing_id,any_related_row,,Not started,,0.00,Private listing flag,0,494142,494142,Not in MLS feed — AlphaX internal source
Property Identification,Address,Tier 1,Yes,"Query / Filter, Display, Feasibility Study, Comps",Assessor / County Parcels,column,public.unidata,address,APN + scity,null_or_blank,enrich_unidata_from_parcels_geojson.py,Done (May 2026),99.66,,,492479,1663,494142,Step 1 field_missingness_classification
Property Identification,APN,Tier 1,Yes,"Query / Filter, Display, Feasibility Study, Comps",Assessor,column,public.unidata,parcelnumb,APN + scity,null_or_blank,core ingest,Done,100.00,,,494142,0,494142,Step 1 field_missingness_classification
Property Identification,City,Tier 1,,"Query / Filter, Feasibility Study, Comps",Assessor,column,public.unidata,city,APN + scity,step1_default,,Done,100.00,,,494142,0,494142,Step 1 field_missingness_classification
Property Identification,Zip Code,Tier 1,,"Query / Filter, Feasibility Study, Comps",Assessor / USPS,column,parcel_attributes,zip,APN + scity,step1_default,pilot_parcel_attributes_ingest.py,Pilot,99.96,99.96,,493939,203,494142,Column fill via parcel_attributes.zip (1:1 join)
Property Identification,Jurisdiction,Tier 2,,"Display, Feasibility Study",Assessor / County,column,parcel_attributes,jurisdiction,APN + scity,step1_default,pilot_parcel_attributes_ingest.py,Pilot,99.93,99.93,,493816,326,494142,Column fill via parcel_attributes.jurisdiction (1:1 join)
Property Identification,Neighborhood,Tier 2,,Feasibility Study,Assessor,column,parcel_attributes,neighborhood,APN + scity,step1_default,pilot_parcel_attributes_ingest.py,Pilot,0.00,0.00,,0,494142,494142,Column fill via parcel_attributes.neighborhood (1:1 join)
Property Identification,County,Tier 2,,"Query / Filter, Display, Feasibility Study, Comps",Assessor / County,column,parcel_attributes,county,APN + scity,step1_default,,Done,100.00,100.00,Santa Clara scope; implicit CA-SCC,494130,12,494142,Column fill via parcel_attributes.county (1:1 join)
Property Identification,State,Tier 2,,"Query / Filter, Feasibility Study",Assessor,column,parcel_attributes,state,APN + scity,step1_default,,Done,100.00,100.00,Implicit CA,494130,12,494142,Column fill via parcel_attributes.state (1:1 join)
Property Characteristics,Building Area,Tier 1,Yes,"Query / Filter, Display, Feasibility Study, Comps",Assessor / GPKG,column,public.unidata,building_area,APN + scity,null_or_zero,enrich_unidata_from_gpkg.py,Done,100.00,,,494142,0,494142,Step 1 field_missingness_classification
Property Characteristics,Lot Size (sqft.),Tier 1,Yes,"Query / Filter, Display, Feasibility Study, Comps",Assessor / County,column,public.unidata,sqft,APN + scity,null_or_zero,enrich_unidata_from_gpkg.py,Done,100.00,,,494142,0,494142,Step 1 field_missingness_classification
Property Characteristics,Total Acres,Tier 2,,"Display, Feasibility Study",Assessor / County,column,parcel_attributes,total_acres,APN + scity,step1_default,pilot_parcel_attributes_ingest.py,Pilot,99.92,99.92,,493728,414,494142,Column fill via parcel_attributes.total_acres (1:1 join)
Property Characteristics,Property Type,Tier 1,,"Query / Filter, Display, Feasibility Study, Comps",Assessor,column,parcel_attributes,property_type,APN + scity,step1_default,pilot_parcel_attributes_ingest.py,Pilot,99.72,99.72,,492756,1386,494142,Column fill via parcel_attributes.property_type (1:1 join)
Property Characteristics,Year Built,Tier 1,,"Query / Filter, Display, Feasibility Study, Comps",Assessor bulk,column,public.unidata,yearbuilt,APN + scity,null_or_zero,pilot_yearbuilt_assessor.py,Gap — Assessor pilot,95.64,,21.5k gaps not in GPKG,472581,21561,494142,Step 1 field_missingness_classification
Property Characteristics,Beds / Baths,Tier 1,,"Query / Filter, Display, Feasibility Study, Comps",Assessor / MLS,column,parcel_attributes,beds_baths,APN + scity,step1_default,pilot_parcel_attributes_ingest.py,Pilot,0.00,0.00,GPKG numrooms partial; MLS preferred,0,494142,494142,Column fill via parcel_attributes.beds_baths (1:1 join)
Property Characteristics,Stories,Tier 2,,"Query / Filter, Display, Feasibility Study, Comps",Assessor,column,parcel_attributes,num_stories,APN + scity,step1_default,pilot_parcel_attributes_ingest.py,Pilot,0.00,0.00,,0,494142,494142,Column fill via parcel_attributes.num_stories (1:1 join)
Valuation & Comps,Estimated Value (AVM),Tier 1,,"Query / Filter, Display, Pro Forma, Comps",DERIVED,derived,parcel_valuation,avm,APN,derivation_succeeded,parceliq_derived_coverage.py,Not started,,0.00,After MLS + parcel base,0,494142,494142,Join via parcel_valuation.avm
Valuation & Comps,Est. Price / Sq.Ft.,Tier 1,,"Query / Filter, Display, Pro Forma, Comps",DERIVED,derived,parcel_valuation,price_per_sqft,APN,derivation_succeeded,parceliq_derived_coverage.py,Not started,,0.00,,0,494142,494142,Join via parcel_valuation.price_per_sqft
Valuation & Comps,Comps,Tier 1,,"Display, Pro Forma, Comps",MLS + AVM,join,parcel_comps,comps,APN + radius,any_related_row,parceliq_derived_coverage.py,Not started,,0.00,,0,494142,494142,Join via parcel_comps.comps
Valuation & Comps,Similar Listings,Tier 1,,"Display, Pro Forma, Comps",MLS,join,parcel_comps,similar_listings,APN,any_related_row,,Not started,,0.00,,0,494142,494142,Join via parcel_comps.similar_listings
Valuation & Comps,Recently Sold Homes,Tier 1,,"Display, Pro Forma, Comps",MLS + AVM,join,parcel_comps,recent_sold,APN + market,any_related_row,,Not started,,0.00,,0,494142,494142,Join via parcel_comps.recent_sold
Valuation & Comps,Last Sold Price,Tier 1,,"Display, Pro Forma, Comps",MLS + AVM,join,mls_sales,last_sold_price,APN,any_related_row,,Not started,,0.00,,0,494142,494142,Join via mls_sales.last_sold_price
Valuation & Comps,Equity $,Tier 2,,"Query / Filter, Display, Pro Forma",MLS + AVM,derived,parcel_valuation,equity_dollars,APN,derivation_succeeded,parceliq_derived_coverage.py,Not started,,0.00,,0,494142,494142,Join via parcel_valuation.equity_dollars
Valuation & Comps,Equity %,Tier 2,,"Query / Filter, Display, Pro Forma",MLS + AVM,derived,parcel_valuation,equity_pct,APN,derivation_succeeded,parceliq_derived_coverage.py,Not started,,0.00,,0,494142,494142,Join via parcel_valuation.equity_pct
Valuation & Comps,Cost,Tier 1,,"Display, Pro Forma",,n/a,,,,,,Not started,,,No source defined,,,494142,Not applicable — no source
Valuation & Comps,Profit,Tier 1,,"Display, Pro Forma",,n/a,,,,,,Not started,,,No source defined,,,494142,Not applicable — no source
Valuation & Comps,ROE,Tier 2,,"Query / Filter, Display, Pro Forma",MLS + AVM,derived,parcel_valuation,roe,APN,derivation_succeeded,parceliq_derived_coverage.py,Not started,,0.00,,0,494142,494142,Join via parcel_valuation.roe
Valuation & Comps,IRR,Tier 1,,"Display, Pro Forma",,n/a,,,,,,Not started,,,No source defined,,,494142,Not applicable — no source
