match_tier,field_name,parcelnumb,unidata_scity,unidata_value,gpkg_value,comparison
pair,yearbuilt,00304074,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,address,00307048,Menlo Park,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00307048,Menlo Park,[blank],,Unidata missing; GPKG empty
pair,address,00307064,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00307064,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00308019,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00310030,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00311060,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00312002,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,address,00317050,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00317050,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,address,00317085,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00317085,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00318015,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,address,00320055,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00320055,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,address,00321068,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00321068,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00326046,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,address,00326054,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00326068,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00327031,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00328044,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00330016,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00333021,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00343039,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00343045,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00344051,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00345040,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00345087,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00346004,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00346006,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00347020,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00350022,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,address,00354059,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00354059,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00355001,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00355071,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,address,00359049,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00359049,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00360001,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00801020,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00801022,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00801049,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00801051,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,address,00801052,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00801052,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,address,00801053,East Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00801053,East Palo Alto,[blank],,Unidata missing; GPKG empty
pair,address,00801054,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00801054,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,address,00801057,East Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00801057,East Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00801058,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,address,00801059,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00801059,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,address,00802032,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00802032,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00802034,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00803029,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00803079,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00803085,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00804001,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,00806001,Palo Alto,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01501005,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01501006,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01501012,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01501013,Alviso,[blank],,Unidata missing; GPKG empty
pair,address,01501022,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01501022,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01501024,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01501024,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01501025,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01501025,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01501028,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01501029,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01501030,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01501030,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01501032,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01501034,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01501034,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01501037,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01501037,San Jose,[blank],,Unidata missing; GPKG empty
pair,zoning,01501037,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01501039,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01501039,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01501040,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01501041,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01501041,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01501042,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01501042,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502002,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502004,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502007,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502009,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01502010,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502010,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502012,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502021,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502022,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502023,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502025,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01502026,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502026,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01502027,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502027,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502028,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502030,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502033,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502041,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502042,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502043,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01502044,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502044,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502045,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502048,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01503002,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01503003,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01503004,San Jose,[blank],,Unidata missing; GPKG empty
