column_name,data_type,udt_name,total_rows,present_count,missing_count,missing_pct,taxonomy,taxonomy_key,initial_handling_strategy,product_behavior_risk,product_impact,review_priority
h3,character varying,varchar,494142,494142,0,0.0,API-fillable fields,api_fillable,Evaluate cost and benefit.,Low,Backfill candidates — weigh vendor cost vs completeness uplift.,P3
ready,boolean,bool,494142,494142,0,0.0,API-fillable fields,api_fillable,Evaluate cost and benefit.,Low,Backfill candidates — weigh vendor cost vs completeness uplift.,P3
zoning,character varying,varchar,494142,493832,310,0.0627,API-fillable fields,api_fillable,Evaluate cost and benefit.,Low,Backfill candidates — weigh vendor cost vs completeness uplift.,P3
yearbuilt,integer,int4,494142,472581,21561,4.3633,API-fillable fields,api_fillable,Evaluate cost and benefit.,Low,Backfill candidates — weigh vendor cost vs completeness uplift.,P3
city,character varying,varchar,494142,494142,0,0.0,Core parcel fields,core_parcel,Must be complete and reliable.,Low,Low risk — core identifiers largely present.,P2
created_at,timestamp without time zone,timestamp,494142,494142,0,0.0,Core parcel fields,core_parcel,Must be complete and reliable.,Low,Low risk — core identifiers largely present.,P2
id,integer,int4,494142,494142,0,0.0,Core parcel fields,core_parcel,Must be complete and reliable.,Low,Low risk — core identifiers largely present.,P2
lat,double precision,float8,494142,494142,0,0.0,Core parcel fields,core_parcel,Must be complete and reliable.,Low,Low risk — core identifiers largely present.,P2
lon,double precision,float8,494142,494142,0,0.0,Core parcel fields,core_parcel,Must be complete and reliable.,Low,Low risk — core identifiers largely present.,P2
parcel,character varying,varchar,494142,494142,0,0.0,Core parcel fields,core_parcel,Must be complete and reliable.,Low,Low risk — core identifiers largely present.,P2
parcelnumb,character varying,varchar,494142,494142,0,0.0,Core parcel fields,core_parcel,Must be complete and reliable.,Low,Low risk — core identifiers largely present.,P2
updated_at,timestamp without time zone,timestamp,494142,494142,0,0.0,Core parcel fields,core_parcel,Must be complete and reliable.,Low,Low risk — core identifiers largely present.,P2
address,character varying,varchar,494142,492473,1669,0.3378,Core parcel fields,core_parcel,Must be complete and reliable.,Moderate,Low risk — core identifiers largely present.,P2
scity,character varying,varchar,494142,492213,1929,0.3904,Core parcel fields,core_parcel,Must be complete and reliable.,Moderate,Low risk — core identifiers largely present.,P2
alquist_fault,boolean,bool,494142,494142,0,0.0,External join fields,external_join,Need to clarify the meaning of missing values.,Low,NULL/false semantics matter for hazard and compliance messaging.,P3
landslide,boolean,bool,494142,494142,0,0.0,External join fields,external_join,Need to clarify the meaning of missing values.,Low,NULL/false semantics matter for hazard and compliance messaging.,P3
liquefaction,boolean,bool,494142,494142,0,0.0,External join fields,external_join,Need to clarify the meaning of missing values.,Low,NULL/false semantics matter for hazard and compliance messaging.,P3
fldzone,character varying,varchar,494142,494137,5,0.001,External join fields,external_join,Need to clarify the meaning of missing values.,Low,NULL/false semantics matter for hazard and compliance messaging.,P3
fhszlra,integer,int4,494142,483843,10299,2.0842,External join fields,external_join,Need to clarify the meaning of missing values.,Low,NULL/false semantics matter for hazard and compliance messaging.,P3
fhszsra,integer,int4,494142,12001,482141,97.5713,External join fields,external_join,Need to clarify the meaning of missing values.,High,NULL/false semantics matter for hazard and compliance messaging.,P1–P2
sqft,integer,int4,494142,473006,21136,4.2773,Footprint-related fields,footprint_related,Known to be partially missing; treat as enrichment fields.,Low,"Expected partial coverage — affects enrichment UX, not parcel existence.",P2–P3
building_area,integer,int4,494142,460309,33833,6.8468,Footprint-related fields,footprint_related,Known to be partially missing; treat as enrichment fields.,Low,"Expected partial coverage — affects enrichment UX, not parcel existence.",P2–P3
footprints,ARRAY,_varchar,494142,457990,36152,7.3161,Footprint-related fields,footprint_related,Known to be partially missing; treat as enrichment fields.,Low,"Expected partial coverage — affects enrichment UX, not parcel existence.",P2–P3
