field,city_key,row_count,present_count,missing_count,missing_pct
h3,SAN JOSE,253883,253883,0,0.0
h3,SUNNYVALE,33868,33868,0,0.0
h3,SANTA CLARA,30235,30235,0,0.0
h3,PALO ALTO,21023,21023,0,0.0
h3,MILPITAS,20372,20372,0,0.0
h3,MOUNTAIN VIEW,20302,20302,0,0.0
h3,GILROY,18063,18063,0,0.0
h3,CUPERTINO,17048,17048,0,0.0
h3,MORGAN HILL,16768,16768,0,0.0
h3,LOS ALTOS,15987,15987,0,0.0
h3,LOS GATOS,15371,15371,0,0.0
h3,CAMPBELL,12755,12755,0,0.0
h3,SARATOGA,11740,11740,0,0.0
h3,SAN MARTIN,2052,2052,0,0.0
h3,(NULL),1929,1929,0,0.0
h3,MONTE SERENO,1226,1226,0,0.0
h3,STANFORD,1094,1094,0,0.0
ready,SAN JOSE,253883,253883,0,0.0
ready,SUNNYVALE,33868,33868,0,0.0
ready,SANTA CLARA,30235,30235,0,0.0
ready,PALO ALTO,21023,21023,0,0.0
ready,MILPITAS,20372,20372,0,0.0
ready,MOUNTAIN VIEW,20302,20302,0,0.0
ready,GILROY,18063,18063,0,0.0
ready,CUPERTINO,17048,17048,0,0.0
ready,MORGAN HILL,16768,16768,0,0.0
ready,LOS ALTOS,15987,15987,0,0.0
ready,LOS GATOS,15371,15371,0,0.0
ready,CAMPBELL,12755,12755,0,0.0
ready,SARATOGA,11740,11740,0,0.0
ready,SAN MARTIN,2052,2052,0,0.0
ready,(NULL),1929,1929,0,0.0
ready,MONTE SERENO,1226,1226,0,0.0
ready,STANFORD,1094,1094,0,0.0
zoning,SAN JOSE,253883,253801,82,0.0323
zoning,SUNNYVALE,33868,33863,5,0.0148
zoning,SANTA CLARA,30235,30202,33,0.1091
zoning,PALO ALTO,21023,21022,1,0.0048
zoning,MILPITAS,20372,20285,87,0.4271
zoning,MOUNTAIN VIEW,20302,20278,24,0.1182
zoning,GILROY,18063,18060,3,0.0166
zoning,CUPERTINO,17048,17033,15,0.088
zoning,MORGAN HILL,16768,16765,3,0.0179
zoning,LOS ALTOS,15987,15981,6,0.0375
zoning,LOS GATOS,15371,15343,28,0.1822
zoning,CAMPBELL,12755,12746,9,0.0706
zoning,SARATOGA,11740,11738,2,0.017
zoning,SAN MARTIN,2052,2052,0,0.0
zoning,(NULL),1929,1929,0,0.0
zoning,MONTE SERENO,1226,1226,0,0.0
zoning,STANFORD,1094,1094,0,0.0
yearbuilt,SAN JOSE,253883,245725,8158,3.2133
yearbuilt,SUNNYVALE,33868,33265,603,1.7804
yearbuilt,SANTA CLARA,30235,29561,674,2.2292
yearbuilt,PALO ALTO,21023,20256,767,3.6484
