parcelnumb,scity,city,lat,lon,address
00307048,Menlo Park,San Jose,37.456522,-122.147254,
00307064,Palo Alto,San Jose,37.454873,-122.148259,
00317050,Palo Alto,San Jose,37.449188,-122.126923,
00317085,Palo Alto,San Jose,37.452155,-122.127869,
00320055,Palo Alto,San Jose,37.452998,-122.146018,
00321068,Palo Alto,San Jose,37.452075,-122.147603,
00326054,Palo Alto,San Jose,37.449022,-122.14797,
00354059,Palo Alto,San Jose,37.440739,-122.133523,
00359049,Palo Alto,San Jose,37.438804,-122.135436,
00801052,Palo Alto,San Jose,37.452901,-122.125386,
00801053,East Palo Alto,San Jose,37.452782,-122.124845,
00801054,Palo Alto,San Jose,37.452612,-122.124796,
00801057,East Palo Alto,San Jose,37.453282,-122.127336,
00801059,Palo Alto,San Jose,37.453132,-122.126909,
00802032,Palo Alto,San Jose,37.452282,-122.119071,
01501022,San Jose,San Jose,37.427951,-121.977626,
01501024,San Jose,San Jose,37.428522,-121.980585,
01501025,San Jose,San Jose,37.428192,-121.980664,
01501030,San Jose,San Jose,37.428029,-121.979778,
01501034,San Jose,San Jose,37.429236,-121.979916,
01501037,San Jose,San Jose,37.427213,-121.979339,
01501039,San Jose,San Jose,37.429042,-121.978269,
01501041,San Jose,San Jose,37.42882,-121.980785,
01501042,San Jose,San Jose,37.4286,-121.980302,
01502010,San Jose,San Jose,37.426914,-121.977608,
