parcelnumb,scity,city,lat,lon,address
00301005,Palo Alto,San Jose,37.453808,-122.159263,782 PALO ALTO AVE
00301009,Palo Alto,San Jose,37.45331,-122.15869,792 PALO ALTO AVE
00301043,Palo Alto,San Jose,37.453138,-122.158027,798 PALO ALTO AVE
00303042,Palo Alto,San Jose,37.45223,-122.154509,838 UNIVERSITY AVE
00303044,Palo Alto,San Jose,37.452014,-122.154723,824 UNIVERSITY AVE
00303045,Palo Alto,San Jose,37.452189,-122.155,818 UNIVERSITY AVE
00303047,Palo Alto,San Jose,37.452651,-122.15406,526 SENECA ST
00304074,Palo Alto,San Jose,37.452991,-122.151625,HALE ST
00304075,Palo Alto,San Jose,37.453856,-122.153237,970 UNIVERSITY AVE
00305010,Palo Alto,San Jose,37.455129,-122.153721,445 HALE ST
00306005,Palo Alto,San Jose,37.456733,-122.151813,1176 PALO ALTO AVE
00307036,Palo Alto,San Jose,37.455177,-122.15035,60 HAMILTON CT
00307048,Menlo Park,San Jose,37.456522,-122.147254,
00307064,Palo Alto,San Jose,37.454873,-122.148259,
00308019,Palo Alto,San Jose,37.455783,-122.144515,UNIVERSITY AV
00310030,Palo Alto,San Jose,37.457667,-122.141893,UNIVERSITY AV
00311027,Palo Alto,San Jose,37.45474,-122.139319,1449 EDGEWOOD DR
00311060,Palo Alto,San Jose,37.456307,-122.14032,SOUTHWOOD DR
00311071,Palo Alto,San Jose,37.454317,-122.13988,1444 EDGEWOOD DR
00312013,Palo Alto,San Jose,37.453947,-122.136623,475 NEWELL RD
00312018,Palo Alto,San Jose,37.452337,-122.135863,12 PHILLIPS RD
00312044,Palo Alto,San Jose,37.452911,-122.134853,554 MADISON WAY
00313004,Palo Alto,San Jose,37.452212,-122.134797,561 MADISON WAY
00313005,Palo Alto,San Jose,37.452406,-122.13467,555 MADISON WAY
00313009,Palo Alto,San Jose,37.45225,-122.134292,554 JEFFERSON DR
