parcelnumb,scity,city,lat,lon,address
01507007,San Jose,San Jose,37.432257,-121.963962,
01507008,San Jose,San Jose,37.432348,-121.963833,
01507009,San Jose,San Jose,37.432485,-121.963641,MICHIGAN AV
01507015,San Jose,San Jose,37.431754,-121.964018,GRAND BL
01507018,San Jose,San Jose,37.434182,-121.962471,0 (LAND ONLY)
01508001,San Jose,San Jose,37.435539,-121.960571,0 (LAND ONLY)
01509001,San Jose,San Jose,37.436709,-121.961928,
01509002,San Jose,San Jose,37.438176,-121.959877,
01509003,San Jose,San Jose,37.436124,-121.961249,STATE ST
01510009,San Jose,San Jose,37.4353,-121.963901,
01510010,San Jose,San Jose,37.434745,-121.963181,STATE ST
01513001,Alviso,San Jose,37.429084,-121.976882,WENTWORTH AV
01513004,San Jose,San Jose,37.429142,-121.976291,LA SALLE ST
01513010,San Jose,San Jose,37.43134,-121.972835,
01514001,San Jose,San Jose,37.431752,-121.972257,
01514002,San Jose,San Jose,37.432211,-121.971617,
01515004,Alviso,San Jose,37.436459,-121.965351,CLARK ST
01515005,Alviso,San Jose,37.434889,-121.967225,CLARK ST
01515010,Alviso,San Jose,37.435732,-121.966613,SHIVELY AV
01515012,Alviso,San Jose,37.435877,-121.964672,CLARK ST
01515014,San Jose,San Jose,37.435151,-121.967476,
01515015,San Jose,San Jose,37.435334,-121.967046,
01516005,San Jose,San Jose,37.438438,-121.963998,
01516006,San Jose,San Jose,37.437878,-121.963284,
01516007,Alviso,San Jose,37.437294,-121.962606,CLARK ST
