parcelnumb,scity,city,lat,lon,address
00301001,Palo Alto,San Jose,37.454389,-122.159361,766 PALO ALTO AVE
00301002,Palo Alto,San Jose,37.454215,-122.159338,772 PALO ALTO AVE
00301003,Palo Alto,San Jose,37.454079,-122.159313,776 PALO ALTO AVE
00301004,Palo Alto,San Jose,37.453943,-122.159288,780 PALO ALTO AVE
00301005,Palo Alto,San Jose,37.453808,-122.159263,782 PALO ALTO AVE
00301006,Palo Alto,San Jose,37.453664,-122.159183,784 PALO ALTO AVE
00301007,Palo Alto,San Jose,37.453502,-122.159051,786 PALO ALTO AVE
00301008,Palo Alto,San Jose,37.453409,-122.158945,788 PALO ALTO AVE
00301009,Palo Alto,San Jose,37.45331,-122.15869,792 PALO ALTO AVE
00301010,Palo Alto,San Jose,37.453122,-122.158762,761 EVERETT AVE
00301011,Palo Alto,San Jose,37.453194,-122.15891,253 FULTON ST
00301012,Palo Alto,San Jose,37.453266,-122.159055,247 FULTON ST
00301013,Palo Alto,San Jose,37.453352,-122.159195,241 FULTON ST
00301014,Palo Alto,San Jose,37.453485,-122.159336,225 FULTON ST
00301015,Palo Alto,San Jose,37.453605,-122.159556,215 FULTON ST
00301016,Palo Alto,San Jose,37.453767,-122.159611,213 FULTON ST
00301017,Palo Alto,San Jose,37.453903,-122.159636,211 FULTON ST
00301018,Palo Alto,San Jose,37.454039,-122.159661,121 FULTON ST
00301019,Palo Alto,San Jose,37.454174,-122.159686,115 FULTON ST
00301020,Palo Alto,San Jose,37.454317,-122.159711,754 PALO ALTO AVE
00301021,Palo Alto,San Jose,37.454355,-122.160236,750 PALO ALTO AVE
00301022,Palo Alto,San Jose,37.454096,-122.160085,120 FULTON ST
00301023,Palo Alto,San Jose,37.453878,-122.160142,130 FULTON ST
00301024,Palo Alto,San Jose,37.453494,-122.160154,200 FULTON ST
00301025,Palo Alto,San Jose,37.453399,-122.160026,212 FULTON ST
