parcelnumb,scity,city,lat,lon,address
00304075,Palo Alto,San Jose,37.453856,-122.153237,970 UNIVERSITY AVE
00307048,Menlo Park,San Jose,37.456522,-122.147254,
00307068,Palo Alto,San Jose,37.455888,-122.147262,1337 LINCOLN AVE
00308019,Palo Alto,San Jose,37.455783,-122.144515,UNIVERSITY AV
00310030,Palo Alto,San Jose,37.457667,-122.141893,UNIVERSITY AV
00310047,Palo Alto,San Jose,37.456626,-122.14144,241 SOUTHWOOD DR
00311060,Palo Alto,San Jose,37.456307,-122.14032,SOUTHWOOD DR
00317050,Palo Alto,San Jose,37.449188,-122.126923,
00317085,Palo Alto,San Jose,37.452155,-122.127869,
00318015,Palo Alto,San Jose,37.446894,-122.127135,EMBARCADERO RD
00326054,Palo Alto,San Jose,37.449022,-122.14797,
00344051,Palo Alto,San Jose,37.445433,-122.144679,PARKINSON AV
00345087,Palo Alto,San Jose,37.444849,-122.140208,1280 NEWELL ROAD
00351043,Palo Alto,San Jose,37.44265,-122.130416,2223 LOUIS RD
00352039,Palo Alto,San Jose,37.441262,-122.128703,2361 LOUIS RD
00354031,Palo Alto,San Jose,37.441388,-122.136754,1955 NEWELL RD
00354059,Palo Alto,San Jose,37.440739,-122.133523,
00359049,Palo Alto,San Jose,37.438804,-122.135436,
00801020,Palo Alto,San Jose,37.452693,-122.124348,COUNTY LN
00801022,Palo Alto,San Jose,37.452943,-122.125363,COUNTY LN
00801052,Palo Alto,San Jose,37.452901,-122.125386,
00801053,East Palo Alto,San Jose,37.452782,-122.124845,
00801054,Palo Alto,San Jose,37.452612,-122.124796,
00801057,East Palo Alto,San Jose,37.453282,-122.127336,
00801059,Palo Alto,San Jose,37.453132,-122.126909,
