parcelnumb,scity,city,lat,lon,address
02934005,,San Jose,37.454496,-121.867581,
02936011,,San Ramon,37.470854,-121.860869,
02936012,,San Ramon,37.471312,-121.858121,
02936013,,San Ramon,37.467498,-121.85432,
02936014,,San Ramon,37.464029,-121.849903,
02936015,,San Ramon,37.461819,-121.846179,
02938014,,San Ramon,37.455868,-121.849269,
02939002,,San Ramon,37.469271,-121.815295,
02939003,,San Ramon,37.480526,-121.82235,
02939004,,San Ramon,37.469113,-121.832351,
02939005,,San Ramon,37.454735,-121.831722,
02939006,,San Ramon,37.467198,-121.845908,
02939007,,San Ramon,37.478513,-121.848647,
02940001,,San Ramon,37.452432,-121.811628,
02940002,,San Ramon,37.453976,-121.815251,
04201010,,San Ramon,37.469254,-121.745165,
04202002,,San Ramon,37.469217,-121.763325,
04202003,,San Ramon,37.454135,-121.762749,
04202004,,San Ramon,37.454067,-121.780215,
04202005,,San Ramon,37.469187,-121.780735,
04202006,,San Ramon,37.480374,-121.789625,
04202007,,San Ramon,37.469204,-121.797396,
04203001,,San Ramon,37.439275,-121.779569,
04203002,,San Ramon,37.439286,-121.796646,
04203003,,San Ramon,37.443415,-121.813865,
