parcelnumb,scity,city,lat,lon,address
00307048,Menlo Park,San Jose,37.456522,-122.147254,
00307064,Palo Alto,San Jose,37.454873,-122.148259,
00308019,Palo Alto,San Jose,37.455783,-122.144515,UNIVERSITY AV
00310030,Palo Alto,San Jose,37.457667,-122.141893,UNIVERSITY AV
00311060,Palo Alto,San Jose,37.456307,-122.14032,SOUTHWOOD DR
00318015,Palo Alto,San Jose,37.446894,-122.127135,EMBARCADERO RD
00320055,Palo Alto,San Jose,37.452998,-122.146018,
00321068,Palo Alto,San Jose,37.452075,-122.147603,
00327031,Palo Alto,San Jose,37.449335,-122.14421,81 KENT PLACE
00328044,Palo Alto,San Jose,37.450013,-122.142269,801 CENTER DRIVE
00330016,Palo Alto,San Jose,37.449505,-122.134137,705 ALESTER AVE
00333021,Palo Alto,San Jose,37.448506,-122.150456,786 CHANNING AVE
00343045,Palo Alto,San Jose,37.444989,-122.146893,1295 MIDDLEFIELD RD
00345087,Palo Alto,San Jose,37.444849,-122.140208,1280 NEWELL ROAD
00346004,Palo Alto,San Jose,37.44305,-122.143065,1525 MIDDLEFIELD RD
00346006,Palo Alto,San Jose,37.443947,-122.142952,1120 HOPKINS AV
00347020,Palo Alto,San Jose,37.444609,-122.138615,1213 NEWELL RD
00354059,Palo Alto,San Jose,37.440739,-122.133523,
00355001,Palo Alto,San Jose,37.440739,-122.132063,870 N CALIFORNIA AVE
00359049,Palo Alto,San Jose,37.438804,-122.135436,
00360001,Palo Alto,San Jose,37.43871,-122.134072,750 N CALIFORNIA AVE
00801020,Palo Alto,San Jose,37.452693,-122.124348,COUNTY LN
00801022,Palo Alto,San Jose,37.452943,-122.125363,COUNTY LN
00801049,Palo Alto,San Jose,37.451598,-122.123951,FRONTAGE RD
00801051,Palo Alto,San Jose,37.45247,-122.125198,161 LAURA LN
