parcelnumb,scity,city,lat,lon,address
00304074,Palo Alto,San Jose,37.452991,-122.151625,HALE ST
00307048,Menlo Park,San Jose,37.456522,-122.147254,
00307064,Palo Alto,San Jose,37.454873,-122.148259,
00308019,Palo Alto,San Jose,37.455783,-122.144515,UNIVERSITY AV
00310030,Palo Alto,San Jose,37.457667,-122.141893,UNIVERSITY AV
00311060,Palo Alto,San Jose,37.456307,-122.14032,SOUTHWOOD DR
00312002,Palo Alto,San Jose,37.453828,-122.132941,1605 EDGEWOOD DR
00317050,Palo Alto,San Jose,37.449188,-122.126923,
00317085,Palo Alto,San Jose,37.452155,-122.127869,
00318015,Palo Alto,San Jose,37.446894,-122.127135,EMBARCADERO RD
00320055,Palo Alto,San Jose,37.452998,-122.146018,
00321068,Palo Alto,San Jose,37.452075,-122.147603,
00326046,Palo Alto,San Jose,37.449036,-122.148378,915 CHANNING AVE
00326068,Palo Alto,San Jose,37.450515,-122.147619,955 LINCOLN AV
00327031,Palo Alto,San Jose,37.449335,-122.14421,81 KENT PLACE
00328044,Palo Alto,San Jose,37.450013,-122.142269,801 CENTER DRIVE
00330016,Palo Alto,San Jose,37.449505,-122.134137,705 ALESTER AVE
00333021,Palo Alto,San Jose,37.448506,-122.150456,786 CHANNING AVE
00343039,Palo Alto,San Jose,37.445842,-122.147033,1211 FULTON ST
00343045,Palo Alto,San Jose,37.444989,-122.146893,1295 MIDDLEFIELD RD
00344051,Palo Alto,San Jose,37.445433,-122.144679,PARKINSON AV
00345040,Palo Alto,San Jose,37.445924,-122.141446,1325 PARKINSON AVE
00345087,Palo Alto,San Jose,37.444849,-122.140208,1280 NEWELL ROAD
00346004,Palo Alto,San Jose,37.44305,-122.143065,1525 MIDDLEFIELD RD
00346006,Palo Alto,San Jose,37.443947,-122.142952,1120 HOPKINS AV
