parcelnumb,scity,city,lat,lon,address
01501037,San Jose,San Jose,37.427213,-121.979339,
01503039,San Jose,San Jose,37.424972,-121.976496,EL DORADO ST
01503040,San Jose,San Jose,37.424974,-121.976962,1621 EL DORADO ST
01531056,San Jose,San Jose,37.423247,-121.926462,
01531058,Milpitas,San Jose,37.423198,-121.925943,
01531068,San Jose,San Jose,37.427982,-121.928134,0 ALVISO-MILPITAS RD
01532006,Fremont,San Jose,37.455298,-121.967505,0 LOS ESTEROS RD
01533011,San Jose,San Jose,37.44744,-122.010678,ELIZABETH ST
01533026,San Jose,San Jose,37.461885,-122.016468,ELIZABETH ST
01533032,Fremont,San Jose,37.46014,-121.974714,
01533034,San Jose,San Jose,37.46363,-122.005337,STATE ST
01533035,San Jose,San Jose,37.46241,-122.041897,STATE ST
01534083,San Jose,San Jose,37.419159,-121.972013,
01535005,San Jose,San Jose,37.426294,-122.002362,
01536023,Mountain View,San Jose,37.452265,-122.082762,MOFFETT BL
01536032,Sunnyvale,San Jose,37.441476,-122.055353,
01536033,Alviso,San Jose,37.446686,-122.059872,MOFFETT BL
01536034,Alviso,San Jose,37.448438,-122.048208,MOFFETT BL
01537003,Alviso,San Jose,37.450129,-122.054629,MOFFETT BL
01537009,Alviso,San Jose,37.451527,-122.044001,MOFFETT BL
01537011,Alviso,San Jose,37.468203,-122.081905,MOFFETT BL
01537012,Alviso,San Jose,37.45747,-122.086958,MOFFETT BL
01537016,Alviso,San Jose,37.456222,-122.043854,MOFFETT BL
01537017,Alviso,San Jose,37.458423,-122.036619,MOFFETT BL
02201018,Fremont,San Jose,37.454358,-121.924692,
