column_name,taxonomy,non_null_pct,missing_pct,spatial_verdict,spatial_detail,city_verdict,city_detail,segment_verdict,segment_detail,zero_semantics,product_impact,examples_csv,examples_written,geojson_rel,grid_cells_used,rows_geocoded
h3,API-fillable fields,100.0,0.0,Relatively uniform,Across 317 cells: spread ≈ 0.0 pp; mean cell missing ≈ 0.00% (global 0.00%). Relative dispersion (CV) ≈ 0.00. Low baseline missingness — geographic variation is minor in absolute terms.,Broadly similar across cities,Worst: SAN JOSE (0.00% missing). Best among sampled: STANFORD (0.00% missing). Global reference: 0.00% missing. (top cities by volume; ≥400 rows each.),Similar across segments,footprint_proxy:fp_empty: 0.00% missing; footprint_proxy:fp_nonempty: 0.00% missing; sqft_proxy:sqft_nonzero: 0.00% missing; sqft_proxy:sqft_zero_or_null: 0.00% missing,N/A — non-numeric type.,Low — Backfill candidates — weigh vendor cost vs completeness uplift.,outputs/missingness_step2/example_records/h3_missing_sample.csv,0,outputs/missingness_step2/spatial_cells/h3.geojson,317,494142
ready,API-fillable fields,100.0,0.0,Relatively uniform,Across 317 cells: spread ≈ 0.0 pp; mean cell missing ≈ 0.00% (global 0.00%). Relative dispersion (CV) ≈ 0.00. Low baseline missingness — geographic variation is minor in absolute terms.,Broadly similar across cities,Worst: SAN JOSE (0.00% missing). Best among sampled: STANFORD (0.00% missing). Global reference: 0.00% missing. (top cities by volume; ≥400 rows each.),Similar across segments,footprint_proxy:fp_empty: 0.00% missing; footprint_proxy:fp_nonempty: 0.00% missing; sqft_proxy:sqft_nonzero: 0.00% missing; sqft_proxy:sqft_zero_or_null: 0.00% missing,N/A — non-numeric type.,Low — Backfill candidates — weigh vendor cost vs completeness uplift.,outputs/missingness_step2/example_records/ready_missing_sample.csv,0,outputs/missingness_step2/spatial_cells/ready.geojson,317,494142
zoning,API-fillable fields,99.9373,0.0627,Relatively uniform,Across 317 cells: spread ≈ 2.5 pp; mean cell missing ≈ 0.06% (global 0.06%). Relative dispersion (CV) ≈ 0.81. Low baseline missingness — geographic variation is minor in absolute terms.,Broadly similar across cities,Worst: MILPITAS (0.43% missing). Best among sampled: STANFORD (0.00% missing). Global reference: 0.06% missing. (top cities by volume; ≥400 rows each.),Similar across segments,footprint_proxy:fp_empty: 0.73% missing; footprint_proxy:fp_nonempty: 0.01% missing; sqft_proxy:sqft_nonzero: 0.00% missing; sqft_proxy:sqft_zero_or_null: 1.41% missing,N/A — non-numeric type.,Low — Backfill candidates — weigh vendor cost vs completeness uplift.,outputs/missingness_step2/example_records/zoning_missing_sample.csv,25,outputs/missingness_step2/spatial_cells/zoning.geojson,317,494142
yearbuilt,API-fillable fields,95.6367,4.3633,Likely clustered / uneven,Across 317 cells: spread ≈ 48.4 pp; mean cell missing ≈ 8.84% (global 3.52%). Relative dispersion (CV) ≈ 1.21. Missingness varies strongly by location.,Associated with specific cities,Worst: (NULL) (95.54% missing). Best among sampled: SUNNYVALE (1.78% missing). Global reference: 4.36% missing. (top cities by volume; ≥400 rows each.),Associated with parcel proxy segment,Largest gap 69.4 pp (sqft_proxy:sqft_zero_or_null vs sqft_proxy:sqft_nonzero). footprint_proxy:fp_empty: 39.26% missing; footprint_proxy:fp_nonempty: 1.61% missing; sqft_proxy:sqft_nonzero: 1.40% missing; sqft_proxy:sqft_zero_or_null: 70.78% missing,Zeros are rare among non-nulls — likely literal zeros.,Low — Backfill candidates — weigh vendor cost vs completeness uplift.,outputs/missingness_step2/example_records/yearbuilt_missing_sample.csv,25,outputs/missingness_step2/spatial_cells/yearbuilt.geojson,317,494142
city,Core parcel fields,100.0,0.0,Relatively uniform,Across 317 cells: spread ≈ 0.0 pp; mean cell missing ≈ 0.00% (global 0.00%). Relative dispersion (CV) ≈ 0.00. Low baseline missingness — geographic variation is minor in absolute terms.,Broadly similar across cities,Worst: SAN JOSE (0.00% missing). Best among sampled: STANFORD (0.00% missing). Global reference: 0.00% missing. (top cities by volume; ≥400 rows each.),Similar across segments,footprint_proxy:fp_empty: 0.00% missing; footprint_proxy:fp_nonempty: 0.00% missing; sqft_proxy:sqft_nonzero: 0.00% missing; sqft_proxy:sqft_zero_or_null: 0.00% missing,N/A — non-numeric type.,Low — Low risk — core identifiers largely present.,outputs/missingness_step2/example_records/city_missing_sample.csv,0,outputs/missingness_step2/spatial_cells/city.geojson,317,494142
created_at,Core parcel fields,100.0,0.0,Relatively uniform,Across 317 cells: spread ≈ 0.0 pp; mean cell missing ≈ 0.00% (global 0.00%). Relative dispersion (CV) ≈ 0.00. Low baseline missingness — geographic variation is minor in absolute terms.,Broadly similar across cities,Worst: SAN JOSE (0.00% missing). Best among sampled: STANFORD (0.00% missing). Global reference: 0.00% missing. (top cities by volume; ≥400 rows each.),Similar across segments,footprint_proxy:fp_empty: 0.00% missing; footprint_proxy:fp_nonempty: 0.00% missing; sqft_proxy:sqft_nonzero: 0.00% missing; sqft_proxy:sqft_zero_or_null: 0.00% missing,N/A — non-numeric type.,Low — Low risk — core identifiers largely present.,outputs/missingness_step2/example_records/created_at_missing_sample.csv,0,outputs/missingness_step2/spatial_cells/created_at.geojson,317,494142
id,Core parcel fields,100.0,0.0,Relatively uniform,Across 317 cells: spread ≈ 0.0 pp; mean cell missing ≈ 0.00% (global 0.00%). Relative dispersion (CV) ≈ 0.00. Low baseline missingness — geographic variation is minor in absolute terms.,Broadly similar across cities,Worst: SAN JOSE (0.00% missing). Best among sampled: STANFORD (0.00% missing). Global reference: 0.00% missing. (top cities by volume; ≥400 rows each.),Similar across segments,footprint_proxy:fp_empty: 0.00% missing; footprint_proxy:fp_nonempty: 0.00% missing; sqft_proxy:sqft_nonzero: 0.00% missing; sqft_proxy:sqft_zero_or_null: 0.00% missing,Zeros are rare among non-nulls — likely literal zeros.,Low — Low risk — core identifiers largely present.,outputs/missingness_step2/example_records/id_missing_sample.csv,0,outputs/missingness_step2/spatial_cells/id.geojson,317,494142
lat,Core parcel fields,100.0,0.0,Relatively uniform,Across 317 cells: spread ≈ 0.0 pp; mean cell missing ≈ 0.00% (global 0.00%). Relative dispersion (CV) ≈ 0.00. Low baseline missingness — geographic variation is minor in absolute terms.,Broadly similar across cities,Worst: SAN JOSE (0.00% missing). Best among sampled: STANFORD (0.00% missing). Global reference: 0.00% missing. (top cities by volume; ≥400 rows each.),Similar across segments,footprint_proxy:fp_empty: 0.00% missing; footprint_proxy:fp_nonempty: 0.00% missing; sqft_proxy:sqft_nonzero: 0.00% missing; sqft_proxy:sqft_zero_or_null: 0.00% missing,Zeros are rare among non-nulls — likely literal zeros.,Low — Low risk — core identifiers largely present.,outputs/missingness_step2/example_records/lat_missing_sample.csv,0,outputs/missingness_step2/spatial_cells/lat.geojson,317,494142
lon,Core parcel fields,100.0,0.0,Relatively uniform,Across 317 cells: spread ≈ 0.0 pp; mean cell missing ≈ 0.00% (global 0.00%). Relative dispersion (CV) ≈ 0.00. Low baseline missingness — geographic variation is minor in absolute terms.,Broadly similar across cities,Worst: SAN JOSE (0.00% missing). Best among sampled: STANFORD (0.00% missing). Global reference: 0.00% missing. (top cities by volume; ≥400 rows each.),Similar across segments,footprint_proxy:fp_empty: 0.00% missing; footprint_proxy:fp_nonempty: 0.00% missing; sqft_proxy:sqft_nonzero: 0.00% missing; sqft_proxy:sqft_zero_or_null: 0.00% missing,Zeros are rare among non-nulls — likely literal zeros.,Low — Low risk — core identifiers largely present.,outputs/missingness_step2/example_records/lon_missing_sample.csv,0,outputs/missingness_step2/spatial_cells/lon.geojson,317,494142
parcel,Core parcel fields,100.0,0.0,Relatively uniform,Across 317 cells: spread ≈ 0.0 pp; mean cell missing ≈ 0.00% (global 0.00%). Relative dispersion (CV) ≈ 0.00. Low baseline missingness — geographic variation is minor in absolute terms.,Broadly similar across cities,Worst: SAN JOSE (0.00% missing). Best among sampled: STANFORD (0.00% missing). Global reference: 0.00% missing. (top cities by volume; ≥400 rows each.),Similar across segments,footprint_proxy:fp_empty: 0.00% missing; footprint_proxy:fp_nonempty: 0.00% missing; sqft_proxy:sqft_nonzero: 0.00% missing; sqft_proxy:sqft_zero_or_null: 0.00% missing,N/A — non-numeric type.,Low — Low risk — core identifiers largely present.,outputs/missingness_step2/example_records/parcel_missing_sample.csv,0,outputs/missingness_step2/spatial_cells/parcel.geojson,317,494142
