column,data_type,taxonomy,present,missing,missing_pct
fhszsra,integer,external_join,12001,482141,97.5713
yearbuilt,integer,api_fillable,472581,21561,4.3633
footprints,ARRAY,footprint_related,481000,13142,2.6596
fhszlra,integer,external_join,483843,10299,2.0842
address,character varying,core_parcel,492479,1663,0.3365
zoning,character varying,api_fillable,493832,310,0.0627
scity,character varying,core_parcel,494132,10,0.002
alquist_fault,boolean,external_join,494142,0,0.0
building_area,integer,footprint_related,494142,0,0.0
city,character varying,core_parcel,494142,0,0.0
created_at,timestamp without time zone,core_parcel,494142,0,0.0
fldzone,character varying,external_join,494142,0,0.0
h3,character varying,api_fillable,494142,0,0.0
id,integer,core_parcel,494142,0,0.0
landslide,boolean,external_join,494142,0,0.0
lat,double precision,core_parcel,494142,0,0.0
liquefaction,boolean,external_join,494142,0,0.0
lon,double precision,core_parcel,494142,0,0.0
parcel,character varying,core_parcel,494142,0,0.0
parcelnumb,character varying,core_parcel,494142,0,0.0
ready,boolean,api_fillable,494142,0,0.0
sqft,integer,footprint_related,494142,0,0.0
updated_at,timestamp without time zone,core_parcel,494142,0,0.0
