city,baseline_residential_rows,unidata_rows_scity,matched_baseline_apn,missing,coverage_pct
SAN JOSE,237736,253883,237736,0,100.0
SUNNYVALE,31881,33868,31881,0,100.0
SANTA CLARA,27902,30235,27902,0,100.0
PALO ALTO,19102,21023,19102,0,100.0
MILPITAS,18917,20372,18917,0,100.0
MOUNTAIN VIEW,18527,20302,18527,0,100.0
CUPERTINO,16041,17048,16041,0,100.0
GILROY,15084,18063,15084,0,100.0
LOS ALTOS,14823,15987,14823,0,100.0
MORGAN HILL,14054,16768,14054,0,100.0
LOS GATOS,13075,15371,13075,0,100.0
CAMPBELL,11651,12755,11651,0,100.0
SARATOGA,10792,11740,10792,0,100.0
SAN MARTIN,1376,2052,1376,0,100.0
MONTE SERENO,1185,1226,1185,0,100.0
STANFORD,914,1094,914,0,100.0
MOUNT HAMILTON,72,109,72,0,100.0
LOS ALTOS HILLS,59,0,0,59,0.0
PORTOLA VALLEY,31,36,31,0,100.0
(NULL),29,1929,29,0,100.0
WATSONVILLE,18,29,18,0,100.0
COYOTE,3,9,3,0,100.0
LEXINGTON HILLS,2,0,0,2,0.0
REDWOOD ESTATES,2,6,2,0,100.0
ALUM ROCK,0,8,0,0,0.0
ALVISO,0,103,0,0,0.0
BURBANK,0,10,0,0,0.0
CAMBRIAN PARK,0,1,0,0,0.0
EAST FOOTHILLS,0,19,0,0,0.0
EAST PALO ALTO,0,2,0,0,0.0
FREMONT,0,6,0,0,0.0
HOLLISTER,0,21,0,0,0.0
HY,0,12,0,0,0.0
LIVERMORE,0,37,0,0,0.0
LOYOLA,0,15,0,0,0.0
MENLO PARK,0,3,0,0,0.0
