city,unidata_rows,expected_gpkg_rows,row_delta,footprints_empty,building_area_empty,fldzone_empty,alquist_fault_empty,liquefaction_empty,landslide_empty,fhszsra_empty,fhszlra_empty
ALUM ROCK,8,8,0,3,8,0,0,0,0,8,0
ALVISO,103,103,0,92,102,0,0,0,0,103,37
BURBANK,10,10,0,2,9,0,0,0,0,10,0
CAMBRIAN PARK,1,1,0,1,1,0,0,0,0,1,0
CAMPBELL,12755,12755,0,878,593,0,0,0,0,12755,0
COYOTE,9,9,0,1,3,0,0,0,0,9,0
CUPERTINO,17048,17048,0,469,987,0,0,0,0,16818,192
DIABLO-RANGE,0,787,-787,0,0,0,0,0,0,0,0
EAST FOOTHILLS,19,19,0,17,19,0,0,0,0,18,0
EAST PALO ALTO,2,2,0,2,2,0,0,0,0,2,0
FREMONT,6,6,0,4,6,0,0,0,0,4,1
GILROY,18063,18063,0,2713,2501,1,0,0,0,16468,1445
HOLLISTER,21,21,0,3,21,0,0,0,0,0,21
HY,12,12,0,10,12,0,0,0,0,0,12
LEXINGTON HILLS,0,94,-94,0,0,0,0,0,0,0,0
LEXINGTON-HILLS,0,201,-201,0,0,0,0,0,0,0,0
LIVERMORE,37,37,0,24,37,0,0,0,0,0,37
LLAGAS-UVAS,0,321,-321,0,0,0,0,0,0,0,0
LOS ALTOS,15987,15693,294,701,874,0,0,0,0,15854,34
LOS ALTOS HILLS,0,304,-304,0,0,0,0,0,0,0,0
LOS GATOS,15572,15277,295,6554,2270,0,0,0,0,12336,3056
LOYOLA,15,15,0,12,15,0,0,0,0,11,1
MENLO PARK,3,3,0,1,3,0,0,0,0,3,0
MILPITAS,20372,20372,0,5238,1954,0,0,0,0,20248,40
MONTE SERENO,1226,1226,0,942,46,0,0,0,0,1216,2
MORGAN HILL,17089,16768,321,2098,2722,0,0,0,0,14777,1880
MOUNT HAMILTON,109,109,0,89,36,0,0,0,0,26,74
MOUNTAIN VIEW,20302,20302,0,760,1036,0,0,0,0,20302,2
PALO ALTO,21023,21044,-21,429,1700,1,0,0,0,20978,1
PORTOLA VALLEY,36,36,0,10,6,0,0,0,0,34,0
REDWOOD ESTATES,6,6,0,6,1,0,0,0,0,0,6
SAN JOSE,254076,253894,182,7960,13372,1,0,0,0,251506,2032
SAN MARTIN,2052,2052,0,509,660,0,0,0,0,1815,175
SAN RAMON,787,0,787,709,787,2,0,0,0,8,774
SAN-JOSE,0,193,-193,0,0,0,0,0,0,0,0
SANTA CLARA,30662,30235,427,994,1638,0,0,0,0,30483,161
SARATOGA,11740,11740,0,4000,853,0,0,0,0,11387,284
SOUTH-SANTA-CLARA-VALLEY,0,387,-387,0,0,0,0,0,0,0,0
STANFORD,1094,1095,-1,73,181,0,0,0,0,1093,0
SUNNYVALE,33868,33868,0,832,1366,0,0,0,0,33868,3
WATSONVILLE,29,29,0,16,12,0,0,0,0,0,29
WEST-SANTA-CLARA,0,40,-40,0,0,0,0,0,0,0,0
TOTAL,494142,494185,-43,36152,33833,5,0,0,0,482141,10299
